I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.039,0.175,0.214,-0.068,-0.127,0.194,0.029,0.019,-0.074,-0.09,-0.085,-0.084
-0.03,0.179,0.209,-0.074,-0.12,0.194,0.025,0.021,-0.068,-0.087,-0.082,-0.079
-0.018,0.185,0.203,-0.084,-0.111,0.194,0.022,0.045,-0.059,-0.08,-0.075,-0.071
-0.006,0.189,0.195,-0.092,-0.101,0.192,0.018,0.064,-0.052,-0.076,-0.071,-0.063
-0.028,0.194,0.221,-0.084,-0.125,0.207,0.015,0.093,-0.026,-0.053,-0.052,-0.055
-0.044,0.197,0.241,-0.077,-0.143,0.218,0.01,0.132,0.012,-0.02,-0.025,-0.04
-0.018,0.215,0.233,-0.099,-0.126,0.224,0.01,0.179,0.049,0.007,0.002,-0.014
0.008,0.237,0.228,-0.123,-0.11,0.232,0.01,0.252,0.103,0.049,0.034,0.01
0.037,0.261,0.224,-0.149,-0.094,0.242,0.01,0.335,0.171,0.107,0.074,0.036
0.073,0.289,0.215,-0.181,-0.071,0.252,0.01,0.413,0.239,0.169,0.12,0.074
0.094,0.313,0.219,-0.204,-0.063,0.266,0.01,0.481,0.293,0.225,0.163,0.109
0.095,0.33,0.235,-0.213,-0.07,0.282,0.011,0.509,0.319,0.249,0.181,0.132
0.09,0.325,0.235,-0.208,-0.073,0.28,0.014,0.502,0.32,0.257,0.175,0.125
0.085,0.319,0.234,-0.203,-0.075,0.277,0.019,0.459,0.296,0.241,0.166,0.11
0.077,0.312,0.235,-0.195,-0.08,0.274,0.021,0.369,0.232,0.185,0.137,0.094
0.051,0.285,0.235,-0.169,-0.092,0.26,0.026,0.263,0.143,0.117,0.082,0.054
0.013,0.245,0.233,-0.129,-0.11,0.239,0.03,0.161,0.067,0.049,0.024,0.011
-0.018,0.206,0.224,-0.094,-0.121,0.214,0.028,0.087,-0.003,-0.01,-0.025,-0.031
-0.036,0.182,0.217,-0.073,-0.127,0.199,0.024,0.038,-0.052,-0.052,-0.061,-0.063
-0.04,0.17,0.211,-0.066,-0.126,0.19,0.022,-0.002,-0.071,-0.073,-0.078,-0.08
-0.036,0.165,0.201,-0.065,-0.119,0.182,0.019,-0.026,-0.099,-0.094,-0.088,-0.09
-0.04,0.16,0.2,-0.061,-0.12,0.179,0.016,-0.038,-0.113,-0.109,-0.095,-0.094
-0.049,0.154,0.203,-0.053,-0.126,0.179,0.014,-0.035,-0.11,-0.105,-0.097,-0.097
-0.07,0.148,0.218,-0.039,-0.145,0.183,0.011,-0.035,-0.11,-0.105,-0.1,-0.1
-0.086,0.146,0.232,-0.03,-0.159,0.189,0.01,-0.035,-0.11,-0.105,-0.1,-0.102
-0.079,0.15,0.229,-0.035,-0.154,0.19,0.01,-0.035,-0.11,-0.105,-0.1,-0.106
-0.078,0.15,0.228,-0.036,-0.153,0.188,0.01,-0.035,-0.11,-0.105,-0.1,-0.103
-0.071,0.154,0.225,-0.042,-0.148,0.189,0.011,-0.033,-0.108,-0.103,-0.099,-0.096
-0.059,0.166,0.225,-0.054,-0.142,0.195,0.007,-0.029,-0.103,-0.098,-0.095,-0.092
